"Id","HomeTeam","AwayTeam","LineProvider","Spread","FormattedSpread"
"401418840","Youngstown State","Indiana State","consensus","-12","Youngstown State -12"
"401418840","Youngstown State","Indiana State","William Hill (New Jersey)","-12.5","Youngstown State -12.5"
"401421113","Valparaiso","Butler","consensus","-10.5","Valparaiso -10.5"
"401421113","Valparaiso","Butler","William Hill (New Jersey)","-10.5","Valparaiso -10.5"
"401421160","Furman","Western Carolina","consensus","-9.5","Furman -9.5"
"401421160","Furman","Western Carolina","William Hill (New Jersey)","-9.5","Furman -9.5"
"401423155","St. Thomas (MN)","Drake","consensus","-16.5","St. Thomas (MN) -16.5"
"401423155","St. Thomas (MN)","Drake","William Hill (New Jersey)","-16.5","St. Thomas (MN) -16.5"
"401418832","Illinois State","South Dakota","consensus","1.5","South Dakota -1.5"
"401418832","Illinois State","South Dakota","William Hill (New Jersey)","1.5","South Dakota -1.5"
"401423453","Alabama State","Mississippi Valley State","William Hill (New Jersey)","-18","Alabama State -18"
"401425519","Southern Illinois","Western Illinois","William Hill (New Jersey)","-25","Southern Illinois -25"
"401420834","North Dakota State","South Dakota State","consensus","-4","North Dakota State -4"
"401420834","North Dakota State","South Dakota State","William Hill (New Jersey)","-4","North Dakota State -4"
"401416628","Kent State","Akron","teamrankings","-16","Kent State -16"
"401416628","Kent State","Akron","consensus","-15.5","Kent State -15.5"
"401416628","Kent State","Akron","William Hill (New Jersey)","-15","Kent State -15"
"401416628","Kent State","Akron","Bovada","-16.0","Kent State -16.0"
"401404140","Army","UL Monroe","teamrankings","-6.5","Army -6.5"
"401404140","Army","UL Monroe","consensus","-6.5","Army -6.5"
"401404140","Army","UL Monroe","William Hill (New Jersey)","-6.5","Army -6.5"
"401404140","Army","UL Monroe","Bovada","-6.5","Army -6.5"
"401403917","Florida","LSU","teamrankings","-2","Florida -2"
"401403917","Florida","LSU","consensus","-2","Florida -2"
"401403917","Florida","LSU","William Hill (New Jersey)","-2","Florida -2"
"401403917","Florida","LSU","Bovada","-2.0","Florida -2.0"
"401403920","Ole Miss","Auburn","teamrankings","-15.5","Ole Miss -15.5"
"401403920","Ole Miss","Auburn","consensus","-15.5","Ole Miss -15.5"
"401403920","Ole Miss","Auburn","William Hill (New Jersey)","-15","Ole Miss -15"
"401403920","Ole Miss","Auburn","Bovada","-15.5","Ole Miss -15.5"
"401415622","Memphis","Arkansas State","teamrankings","-14.5","Memphis -14.5"
"401415622","Memphis","Arkansas State","consensus","-14.5","Memphis -14.5"
"401415622","Memphis","Arkansas State","William Hill (New Jersey)","-14.5","Memphis -14.5"
"401415622","Memphis","Arkansas State","Bovada","-14.5","Memphis -14.5"
"401426559","Rice","Louisiana","teamrankings","11.5","Louisiana -11.5"
"401426559","Rice","Louisiana","consensus","11.5","Louisiana -11.5"
"401426559","Rice","Louisiana","William Hill (New Jersey)","12","Louisiana -12"
"401426559","Rice","Louisiana","Bovada","11.5","Louisiana -11.5"
"401426604","Florida International","Florida Atlantic","teamrankings","15","Florida Atlantic -15"
"401426604","Florida International","Florida Atlantic","consensus","15.5","Florida Atlantic -15.5"
"401426604","Florida International","Florida Atlantic","William Hill (New Jersey)","15.5","Florida Atlantic -15.5"
