Id,home_market,away_market,LineProvider,Spread,FormattedSpread
401525857,Oklahoma State,Kansas State,William Hill (New Jersey),12,Kansas State -12
401525857,Oklahoma State,Kansas State,Bovada,11.5,Kansas State -11.5
401525857,Oklahoma State,Kansas State,DraftKings,11.5,Kansas State -11.5
401520412,Mississippi State,Southern Miss,DraftKings,-14,Mississippi State -14
401520412,Mississippi State,Southern Miss,Bovada,-18.5,Mississippi State -18.5
401520412,Mississippi State,Southern Miss,ESPN Bet,-18.5,Mississippi State -18.5
401532619,Utah State,Boise State,DraftKings,4,Boise State -4
401532619,Utah State,Boise State,Bovada,5,Boise State -5.0
401532619,Utah State,Boise State,ESPN Bet,5.5,Boise State -5.5
401532623,San José State,San Diego State,DraftKings,-14,San José State -14
401532623,San José State,San Diego State,Bovada,-16.5,San José State -16.5
401532623,San José State,San Diego State,ESPN Bet,-16.5,San José State -16.5
401520301,Illinois,Nebraska,William Hill (New Jersey),-3,Illinois -3
401520301,Illinois,Nebraska,Bovada,-3,Illinois -3.0
401520301,Illinois,Nebraska,DraftKings,-3.5,Illinois -3.5
401540574,William & Mary,Richmond,ESPN Bet,-3.5,William & Mary -3.5
401540597,East Tennessee State,The Citadel,ESPN Bet,-9.5,East Tennessee State -9.5
401541635,Colgate,Fordham,ESPN Bet,6,Fordham -6
401552541,Pennsylvania,Princeton,ESPN Bet,-3,Pennsylvania -3
401539977,North Carolina Central,Delaware State,ESPN Bet,-25,North Carolina Central -25
401539992,Norfolk State,South Carolina State,ESPN Bet,-4.5,Norfolk State -4.5
401540182,Austin Peay,Central Arkansas,ESPN Bet,-6,Austin Peay -6
401540198,Eastern Kentucky,Stephen F. Austin,ESPN Bet,-7,Eastern Kentucky -7
401540265,Montana,Montana State,ESPN Bet,6.5,Montana State -6.5
401540282,Northern Colorado,Portland State,ESPN Bet,11.5,Portland State -11.5
401540306,Southern Illinois,Indiana State,ESPN Bet,-24,Southern Illinois -24
401540123,Prairie View A&M,Alabama State,ESPN Bet,6,Alabama State -6
401540140,Texas Southern,Arkansas-Pine Bluff,ESPN Bet,-20,Texas Southern -20
401540382,Lamar,McNeese,ESPN Bet,-10,Lamar -10
401540287,UC Davis,Sacramento State,ESPN Bet,-2,UC Davis -2
401540388,Northern Iowa,North Dakota State,ESPN Bet,8.5,North Dakota State -8.5
401540250,Idaho,Idaho State,ESPN Bet,-22,Idaho -22
401540234,Cal Poly,Weber State,ESPN Bet,16.5,Weber State -16.5
401540147,Florida A&M,Bethune-Cookman,ESPN Bet,16.5,Bethune-Cookman -16.5
401540243,Eastern Washington,Northern Arizona,ESPN Bet,-3.5,Eastern Washington -3.5
401540230,Montana State,Cal Poly,William Hill (New Jersey),-39,Montana State -39
401540289,Weber State,UC Davis,William Hill (New Jersey),2,UC Davis -2
401531380,UAB,South Florida,William Hill (New Jersey),3,South Florida -3
401531380,UAB,South Florida,Bovada,3,South Florida -3.0
401531380,UAB,South Florida,DraftKings,3.5,South Florida -3.5
401520338,Iowa,Minnesota,William Hill (New Jersey),-3.5,Iowa -3.5
401520338,Iowa,Minnesota,DraftKings,-3.5,Iowa -3.5
401520338,Iowa,Minnesota,Bovada,-3,Iowa -3.0
401525528,Georgia Tech,Boston College,William Hill (New Jersey),-6,Georgia Tech -6
401525528,Georgia Tech,Boston College,Bovada,-6,Georgia Tech -6.0
401525528,Georgia Tech,Boston College,DraftKings,-5.5,Georgia Tech -5.5
401525893,BYU,Oklahoma,DraftKings,24,Oklahoma -24
401525893,BYU,Oklahoma,Bovada,24.5,Oklahoma -24.5
401525893,BYU,Oklahoma,ESPN Bet,24.5,Oklahoma -24.5
401540537,Tennessee State,Tennessee Tech,ESPN Bet,-8,Tennessee State -8
401524062,USC,UCLA,ESPN Bet,-5,USC -5
401524062,USC,UCLA,Bovada,-5,USC -5.0
401524062,USC,UCLA,DraftKings,-6,USC -6
401525554,Clemson,North Carolina,ESPN Bet,-7.5,Clemson -7.5
401525554,Clemson,North Carolina,Bovada,-8,Clemson -8.0
401525554,Clemson,North Carolina,DraftKings,-7.5,Clemson -7.5
401531409,Charlotte,Rice,Bovada,1,Rice -1.0
401531409,Charlotte,Rice,DraftKings,2,Rice -2
401531409,Charlotte,Rice,ESPN Bet,-0.5,Charlotte -0.5
401531431,Memphis,SMU,DraftKings,7.5,SMU -7.5
401531431,Memphis,SMU,Bovada,9.5,SMU -9.5
401531431,Memphis,SMU,ESPN Bet,9.5,SMU -9.5
401531917,Georgia Southern,Old Dominion,DraftKings,-7,Georgia Southern -7
401531917,Georgia Southern,Old Dominion,Bovada,-5.5,Georgia Southern -5.5
401531917,Georgia Southern,Old Dominion,ESPN Bet,-4.5,Georgia Southern -4.5
401540007,Wagner,Central Connecticut,William Hill (New Jersey),2.5,Central Connecticut -2.5
401540023,Long Island University,Merrimack,William Hill (New Jersey),-2.5,Long Island University -2.5
401544197,Yale,Pennsylvania,William Hill (New Jersey),-6,Yale -6
401534854,Howard,Norfolk State,William Hill (New Jersey),-10,Howard -10
401539974,Delaware State,South Carolina State,William Hill (New Jersey),7,South Carolina State -7
401540015,Duquesne,St. Francis (PA),William Hill (New Jersey),-3,Duquesne -3
401540052,Bucknell,Lehigh,William Hill (New Jersey),-3,Bucknell -3
401540069,Holy Cross,Lafayette,William Hill (New Jersey),-14.5,Holy Cross -14.5
401540011,Central Connecticut,St. Francis (PA),ESPN Bet,7,St. Francis (PA) -7
401540019,Merrimack,Duquesne,ESPN Bet,-2.5,Merrimack -2.5
401540064,Holy Cross,Georgetown,ESPN Bet,-21,Holy Cross -21
401525830,Oklahoma,SMU,William Hill (New Jersey),-16,Oklahoma -16
