"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","FormattedSpread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401635575","Pittsburgh","17","California","15","DraftKings","57.5","-3.5","Pittsburgh -3.5","-2.5","","-166","140"
"401635575","Pittsburgh","17","California","15","Bovada","57.5","-3.5","Pittsburgh -3.5","-4.5","59","-170","145"
"401635575","Pittsburgh","17","California","15","ESPN Bet","56.5","-3.5","Pittsburgh -3.5","-3.5","59.5","-170","145"
"401654609","Robert Morris","6","Merrimack","0","ESPN Bet","48.5","1.5","Merrimack -1.5","","","",""
"401643828","UL Monroe","17","Texas State","38","Bovada","50","9.5","Texas State -9.5","7","48.5","240","-290"
"401643828","UL Monroe","17","Texas State","38","ESPN Bet","49.5","9.5","Texas State -9.5","7","48.5","300","-400"
"401643828","UL Monroe","17","Texas State","38","DraftKings","50","9.5","Texas State -9.5","8.5","","280","-355"
"401628444","Clemson","14","South Carolina","17","DraftKings","49.5","-3","Clemson -3","-4.5","","-142","120"
"401628444","Clemson","14","South Carolina","17","Bovada","49","-2.5","Clemson -2.5","-2.5","49","-135","115"
"401628444","Clemson","14","South Carolina","17","ESPN Bet","48.5","-2.5","Clemson -2.5","-2.5","49.5","-140","120"
"401636896","West Virginia","16","Iowa State","28","DraftKings","54","3","Iowa State -3","3.5","","130","-155"
"401636896","West Virginia","16","Iowa State","28","Bovada","54","3","Iowa State -3.0","3","51","130","-150"
"401636896","West Virginia","16","Iowa State","28","ESPN Bet","53.5","3","Iowa State -3","3","51.5","135","-155"
"401654459","Brown","28","Pennsylvania","38","ESPN Bet","49.5","1.5","Pennsylvania -1.5","","","",""
"401643829","Southern Miss","3","Marshall","37","Bovada","53.5","13.5","Marshall -13.5","13.5","55.5","400","-575"
"401643829","Southern Miss","3","Marshall","37","ESPN Bet","52.5","13.5","Marshall -13.5","13.5","55.5","400","-600"
"401643829","Southern Miss","3","Marshall","37","DraftKings","53.5","13.5","Marshall -13.5","13","","390","-520"
"401629045","North Texas","3","Army","14","Bovada","68","6.5","Army -6.5","5.5","63","180","-220"
"401629045","North Texas","3","Army","14","ESPN Bet","66.5","6.5","Army -6.5","5","63.5","200","-240"
"401629045","North Texas","3","Army","14","DraftKings","68","6.5","Army -6.5","4","","205","-250"
"401643826","James Madison","38","Georgia State","7","Bovada","53.5","-14.5","James Madison -14.5","-16.5","54","-850","550"
"401643826","James Madison","38","Georgia State","7","ESPN Bet","54.5","-15.5","James Madison -15.5","-17","54.5","-750","475"
"401643826","James Madison","38","Georgia State","7","DraftKings","53.5","-14.5","James Madison -14.5","-16.5","","-625","455"
"401636921","Texas Tech","27","Colorado","41","Bovada","62","5","Colorado -5.0","3","63","130","-150"
"401636921","Texas Tech","27","Colorado","41","ESPN Bet","62.5","4.5","Colorado -4.5","3","62.5","165","-195"
"401636921","Texas Tech","27","Colorado","41","DraftKings","62","4.5","Colorado -4.5","3","","164","-198"
"401629037","UAB","23","UConn","31","Bovada","54","7.5","UConn -7.5","6","56.5","190","-230"
"401629037","UAB","23","UConn","31","ESPN Bet","53.5","7.5","UConn -7.5","6","56.5","250","-300"
"401629037","UAB","23","UConn","31","DraftKings","54","7.5","UConn -7.5","6.5","","230","-285"
