"School","Year","Games","Wins","Losses","Ties","PreseasonRank","PostseasonRank","Srs","SpOverall","SpOffense","SpDefense","FirstName","LastName","HireDate"
"Colorado State","2021","12","3","9","0","","","-0.5","-2.4","23.3","25.9","Steve","Addazio","2019-12-10T00:00:00.000Z"
"Ohio","2021","12","3","9","0","","","-13.8","-11.6","25.1","35.2","Tim","Albin","2021-07-14T00:00:00.000Z"
"Indiana","2021","12","2","10","0","17","","-6.9","-7.8","20.4","27.3","Tom","Allen","2016-12-01T00:00:00.000Z"
"Utah State","2021","0","0","0","0","","","0.4","0.1","28.4","27.9","Blake","Anderson","2020-12-12T00:00:00.000Z"
"Utah State","2021","14","11","3","0","","24","0.4","0.1","28.4","27.9","Blake","Anderson","2020-12-12T00:00:00.000Z"
"Baylor","2021","14","12","2","0","","5","11.6","15.6","33.1","17.1","Dave","Aranda","2020-01-22T00:00:00.000Z"
"UNLV","2021","12","2","10","0","","","-7.9","-13.8","19.9","33","Marcus","Arroyo","2019-12-11T00:00:00.000Z"
"Akron","2021","9","2","7","0","","","-22.6","-23.1","20.3","41.7","Tom","Arth","2018-12-14T00:00:00.000Z"
"Boise State","2021","12","7","5","0","","","12.4","9.4","28.4","20.8","Andy","Avalos","2021-01-08T00:00:00.000Z"
"Syracuse","2021","12","5","7","0","","","1.1","0.3","27.1","25.2","Dino","Babers","2015-12-15T00:00:00.000Z"
"South Carolina","2021","13","7","6","0","","","0","3.9","26","24.2","Shane","Beamer","2020-12-06T00:00:00.000Z"
"Massachusetts","2021","9","1","8","0","","","-19.7","-29.3","16.1","43.9","Walt","Bell","2018-12-03T00:00:00.000Z"
"Illinois","2021","12","5","7","0","","","-0.9","4.3","23.2","21.8","Bret","Bielema","2020-12-19T00:00:00.000Z"
"Rice","2021","12","4","8","0","","","-15.6","-22.9","18.2","38.3","Mike","Bloomgren","2017-12-06T00:00:00.000Z"
"Wyoming","2021","13","7","6","0","","","-0.4","0.6","26","23.5","Craig","Bohl","2013-12-08T00:00:00.000Z"
