School,Year,Games,Wins,Losses,Ties,PreseasonRank,PostseasonRank,Srs,SpOverall,SpOffense,SpDefense,FirstName,LastName,HireDate,,bye
Air Force,2022,13,10,3,0,,,4.2,3.9,16.3,12.3,Troy,Calhoun,2006-12-22T00:00:00.000Z,,
Akron,2022,12,2,10,0,,,-13.8,-23.4,16.7,38.5,Joe,Moorhead,2021-12-04T00:00:00.000Z,,
Alabama,2022,13,11,2,0,1,5,21.3,30.3,42.9,14.2,Nick,Saban,2007-01-03T00:00:00.000Z,,
App State,2022,12,6,6,0,,,-0.8,1.7,32.9,29.8,Shawn,Clark,2019-12-13T00:00:00.000Z,,
Arizona,2022,12,5,7,0,,,-2,-3.2,37.6,41.1,Jedd,Fisch,2020-12-23T00:00:00.000Z,,
Arizona State,2022,9,2,7,0,,,-3.9,-4.1,30.5,35.7,Shaun,Aguano,,,"0,7"
Arizona State,2022,3,1,2,0,,,-3.9,-4.1,30.5,35.7,Herm,Edwards,2017-12-03T00:00:00.000Z,,"0,7"
Arkansas,2022,13,7,6,0,19,,6.5,12,38.3,26.3,Sam,Pittman,2019-12-08T00:00:00.000Z,,
Arkansas State,2022,12,3,9,0,,,-11.4,-13,23.7,38.5,Butch,Jones,2020-12-12T00:00:00.000Z,,
Army,2022,12,6,6,0,,,-3.8,-1.5,24.6,25.3,Jeff,Monken,2013-12-24T00:00:00.000Z,,
Auburn,2022,8,3,5,0,,,3.1,5.1,32.6,27.9,Bryan,Harsin,2020-12-22T00:00:00.000Z,,"0,8"
Auburn,2022,4,2,2,0,,,3.1,5.1,32.6,27.9,Cadillac,Williams,,,"0,8"
Ball State,2022,12,5,7,0,,,-11.6,-14.9,16,30.1,Mike,Neu,2016-01-17T00:00:00.000Z,,
Baylor,2022,13,6,7,0,10,,9.2,11.7,37.6,26.1,Dave,Aranda,2020-01-22T00:00:00.000Z,,
Boise State,2022,14,10,4,0,,,1,5.7,24.1,18.5,Andy,Avalos,2021-01-08T00:00:00.000Z,,
Boston College,2022,12,3,9,0,,,-10.2,-14.9,20.4,33.8,Jeff,Hafley,2019-12-14T00:00:00.000Z,,
Bowling Green,2022,13,6,7,0,,,-14.3,-18.1,23.8,40.6,Scot,Loeffler,2018-11-28T00:00:00.000Z,,
Buffalo,2022,13,7,6,0,,,-7.3,-9.2,25,35,Maurice,Linguist,2014-12-01T00:00:00.000Z,,
BYU,2022,13,8,5,0,25,,-0.3,-1.4,34.3,34.8,Kalani,Sitake,2015-12-19T00:00:00.000Z,,
California,2022,12,4,8,0,,,-1.3,-3,23.2,25.9,Justin,Wilcox,2017-01-14T00:00:00.000Z,,
Central Michigan,2022,12,4,8,0,,,-12.2,-14,19,32.2,Jim,McElwain,2018-12-03T00:00:00.000Z,,
Charlotte,2022,8,1,7,0,,,-18.8,-16.4,24,39.2,Will,Healy,2018-12-04T00:00:00.000Z,,"6,13"
Charlotte,2022,4,2,2,0,,,-18.8,-16.4,24,39.2,Peter,Rossomando,,,"6,13"
Cincinnati,2022,1,0,1,0,23,,5.7,13.1,27.6,16.1,Kerry,Coombs,,,"0,7"
Cincinnati,2022,12,9,3,0,23,,5.7,13.1,27.6,16.1,Luke,Fickell,2016-12-10T00:00:00.000Z,,"0,7"
Clemson,2022,14,11,3,0,4,13,13.9,17.6,34.9,18.5,Dabo,Swinney,2008-10-15T00:00:00.000Z,,
Coastal Carolina,2022,12,9,3,0,,,-6.4,0.6,32.7,30.6,Jamey,Chadwell,2019-01-18T00:00:00.000Z,,"0,8"
Coastal Carolina,2022,1,0,1,0,,,-6.4,0.6,32.7,30.6,Chad,Staggs,,,"0,8"
Colorado,2022,5,0,5,0,,,-14.7,-20.4,24,45,Karl,Dorrell,2020-02-23T00:00:00.000Z,,"0,6"
Colorado,2022,7,1,6,0,,,-14.7,-20.4,24,45,Mike,Sanford,,,"0,6"
Colorado State,2022,12,3,9,0,,,-17.1,-22.2,7.8,29,Jay,Norvell,2021-12-06T00:00:00.000Z,,
Duke,2022,13,9,4,0,,,7,5,29.4,24.7,Mike,Elko,2021-12-10T00:00:00.000Z,,
East Carolina,2022,13,8,5,0,,,3.8,1.1,31.5,28.7,Mike,Houston,2018-12-03T00:00:00.000Z,,
Eastern Michigan,2022,13,9,4,0,,,-9.2,-7.1,24,32.4,Chris,Creighton,2013-12-11T00:00:00.000Z,,
Florida,2022,13,6,7,0,,,6.4,10.4,39.6,29.5,Billy,Napier,2021-11-28T00:00:00.000Z,,
Florida Atlantic,2022,12,5,7,0,,,-5.9,-7.1,24.4,30.4,Willie,Taggart,2019-12-12T00:00:00.000Z,,
Florida International,2022,12,4,8,0,,,-22.8,-25.5,18.4,42.3,Mike,MacIntyre,2021-12-09T00:00:00.000Z,,
Florida State,2022,13,10,3,0,,11,14.1,13.2,34.8,20.4,Mike,Norvell,2019-12-07T00:00:00.000Z,,
Fresno State,2022,14,10,4,0,,24,2.4,3.3,27.1,24.4,Jeff,Tedford,2019-12-17T00:00:00.000Z,,
Georgia,2022,15,15,0,0,3,1,27,35.3,37.2,3.7,Kirby,Smart,2015-12-06T00:00:00.000Z,,
Georgia Southern,2022,13,6,7,0,,,-4.8,-6.4,34.3,40.3,Clay,Helton,2021-11-02T00:00:00.000Z,,
Georgia State,2022,12,4,8,0,,,-5.2,-3.3,33.7,38.3,Shawn,Elliott,2016-12-08T00:00:00.000Z,,
Georgia Tech,2022,4,1,3,0,,,-6,-11.8,18.8,29.5,Geoff,Collins,2018-12-07T00:00:00.000Z,,"0,7"
Georgia Tech,2022,8,4,4,0,,,-6,-11.8,18.8,29.5,Brent,Key,,,"0,7"
Hawai'i,2022,13,3,10,0,,,-18.4,-24.7,15.8,39.4,Timmy,Chang,2022-01-22T00:00:00.000Z,,
Houston,2022,13,8,5,0,24,,2.8,4.5,42.5,37.7,Dana,Holgorsen,2019-01-01T00:00:00.000Z,,
Illinois,2022,13,8,5,0,,,11.7,15.9,20.6,5.5,Bret,Bielema,2020-12-19T00:00:00.000Z,,
Indiana,2022,12,4,8,0,,,-3.5,-7.1,29.9,36.6,Tom,Allen,2016-12-01T00:00:00.000Z,,
Iowa,2022,13,8,5,0,,,9.5,12.7,16,5.1,Kirk,Ferentz,1998-12-02T00:00:00.000Z,,
Iowa State,2022,12,4,8,0,,,8,5.3,17.7,10.6,Matt,Campbell,2015-11-29T00:00:00.000Z,,
James Madison,2022,11,8,3,0,,,5,6.5,31.3,23.6,Curt,Cignetti,2018-12-14T00:00:00.000Z,,
Kansas,2022,13,6,7,0,,,7.6,2.9,40.6,36,Lance,Leipold,2021-04-30T00:00:00.000Z,,
Kansas State,2022,14,10,4,0,,14,15.5,21.4,36.4,15.7,Chris,Klieman,2018-12-10T00:00:00.000Z,,
Kent State,2022,12,5,7,0,,,-6.4,-13.1,25.6,37.9,Sean,Lewis,2017-12-21T00:00:00.000Z,,
Kentucky,2022,13,7,6,0,20,,5.5,13,23.2,9.9,Mark,Stoops,2012-11-27T00:00:00.000Z,,
Liberty,2022,1,0,1,0,,,-3.5,-1.5,24.1,25.4,Josh,Aldridge,,,"0,9"
Liberty,2022,12,8,4,0,,,-3.5,-1.5,24.1,25.4,Hugh,Freeze,2018-12-07T00:00:00.000Z,,"0,9"
Louisiana,2022,13,6,7,0,,,-1.7,2,21.7,20.3,Michael,Desormeaux,2021-12-05T00:00:00.000Z,,
Louisiana Tech,2022,12,3,9,0,,,-14.3,-17.8,29.6,47,Sonny,Cumbie,2021-11-30T00:00:00.000Z,,
Louisville,2022,1,1,0,0,,,10.6,9,27,19.1,Deion,Branch,,,"0,7"
Louisville,2022,12,7,5,0,,,10.6,9,27,19.1,Scott,Satterfield,2018-12-04T00:00:00.000Z,,"0,7"
LSU,2022,14,10,4,0,,16,14.8,16.2,34.2,17.6,Brian,Kelly,2021-11-30T00:00:00.000Z,,
Marshall,2022,13,9,4,0,,,0.6,3,15.7,11.4,Charles,Huff,2021-01-16T00:00:00.000Z,,
Maryland,2022,13,8,5,0,,,6.2,11.2,33.8,24.2,Mike,Locksley,2018-12-04T00:00:00.000Z,,
Massachusetts,2022,12,1,11,0,,,-23.8,-30.3,7.5,36.4,Don,Brown,2021-11-22T00:00:00.000Z,,
Memphis,2022,13,7,6,0,,,5.4,6.8,37,31.8,Ryan,Silverfield,2019-12-13T00:00:00.000Z,,
Miami,2022,12,5,7,0,16,,-4.6,-2.7,24.4,28.9,Mario,Cristobal,2021-12-06T00:00:00.000Z,,
Miami (OH),2022,13,6,7,0,,,-12.2,-12.7,8.6,22.1,Chuck,Martin,2013-12-03T00:00:00.000Z,,
Michigan,2022,14,13,1,0,8,3,21.1,32,38,7.6,Jim,Harbaugh,2014-12-30T00:00:00.000Z,,
Michigan State,2022,12,5,7,0,15,,1.1,1.2,31.9,29.7,Mel,Tucker,2020-02-11T00:00:00.000Z,,
Middle Tennessee,2022,13,8,5,0,,,-7.7,-6.9,25.6,33.3,Rick,Stockstill,2005-12-12T00:00:00.000Z,,
Minnesota,2022,13,9,4,0,,,10.7,16,23.5,8.6,P.J.,Fleck,2017-01-06T00:00:00.000Z,,
Mississippi State,2022,1,1,0,0,,20,13.1,15.4,35.1,19.9,Zach,Arnett,,,"0,9"
Mississippi State,2022,12,8,4,0,,20,13.1,15.4,35.1,19.9,Mike,Leach,2020-01-09T00:00:00.000Z,,"0,9"
Missouri,2022,13,6,7,0,,,4.2,8.1,26,18.3,Eli,Drinkwitz,2019-12-09T00:00:00.000Z,,
Navy,2022,12,4,8,0,,,-1.9,-7.2,18.2,24.4,Ken,Niumatalolo,2007-12-08T00:00:00.000Z,,
NC State,2022,13,8,5,0,13,,5.5,6.8,20.4,15.3,Dave,Doeren,2012-12-01T00:00:00.000Z,,
Nebraska,2022,3,1,2,0,,,-1.8,-1.2,25.5,25.6,Scott,Frost,2017-12-02T00:00:00.000Z,,"4,8"
Nebraska,2022,9,3,6,0,,,-1.8,-1.2,25.5,25.6,Mickey,Joseph,,,"4,8"
