School,Year,Games,Wins,Losses,Ties,Preseason Rank,Postseason Rank,Srs,Sp Overall,Sp Offense,Sp Defense,First Name,Last Name,Hire Date,bye
Air Force,2023,13,9,4,0,,,1.1,5.9,25.6,20.9,Troy,Calhoun,2006-12-22T00:00:00.000Z,
Akron,2023,12,2,10,0,,,-21.8,-21.6,10.5,30.1,Joe,Moorhead,2021-12-04T00:00:00.000Z,
Alabama,2023,14,12,2,0,4,5,19.6,23.1,36.8,15.6,Nick,Saban,2007-01-03T00:00:00.000Z,
App State,2023,14,9,5,0,,,0.8,3.8,33.5,30.7,Shawn,Clark,2019-12-13T00:00:00.000Z,
Arizona,2023,13,10,3,0,,11,13.3,14.1,37.3,23.1,Jedd,Fisch,2020-12-23T00:00:00.000Z,
Arizona State,2023,12,3,9,0,,,-4.5,-11.3,20.2,29.9,Kenny,Dillingham,,
Arkansas,2023,12,4,8,0,,,1.1,3.5,28.3,26.6,Sam,Pittman,2019-12-08T00:00:00.000Z,
Arkansas State,2023,13,6,7,0,,,-6.4,-6.3,25.8,32.8,Butch,Jones,2020-12-12T00:00:00.000Z,
Army,2023,12,6,6,0,,,-5.3,-4,18.4,22.5,Jeff,Monken,2013-12-24T00:00:00.000Z,
Auburn,2023,13,6,7,0,,,5.3,7.6,26.4,20.1,Hugh,Freeze,,
Ball State,2023,12,4,8,0,,,-12.8,-14.9,12.6,26.3,Mike,Neu,2016-01-17T00:00:00.000Z,
Baylor,2023,12,3,9,0,,,-6.9,-8.3,24.5,32.6,Dave,Aranda,2020-01-22T00:00:00.000Z,
Boise State,2023,10,5,5,0,,,6.4,5.9,32.7,28.2,Andy,Avalos,2021-01-08T00:00:00.000Z,"0,8"
Boise State,2023,4,3,1,0,,,6.4,5.9,32.7,28.2,Spencer,Danielson,,"0,8"
Boston College,2023,13,7,6,0,,,-4.8,-5.9,22.2,27.6,Jeff,Hafley,2019-12-14T00:00:00.000Z,
Bowling Green,2023,13,7,6,0,,,-3.8,-7.8,21.5,27.4,Scot,Loeffler,2018-11-28T00:00:00.000Z,
Buffalo,2023,12,3,9,0,,,-15.3,-15.2,15.3,29.5,Maurice,Linguist,2014-12-01T00:00:00.000Z,
BYU,2023,12,5,7,0,,,-0.8,-3.3,25.3,30.3,Kalani,Sitake,2015-12-19T00:00:00.000Z,
California,2023,13,6,7,0,,,4.3,-0.1,30.6,28.7,Justin,Wilcox,2017-01-14T00:00:00.000Z,
Central Michigan,2023,12,5,7,0,,,-15.5,-19.1,16.8,34,Jim,McElwain,2018-12-03T00:00:00.000Z,
Charlotte,2023,12,3,9,0,,,-17.4,-21.4,14.8,34.4,Biff,Poggi,,
Cincinnati,2023,12,3,9,0,,,-3.7,-6.8,21.3,28.3,Scott,Satterfield,,
Clemson,2023,13,9,4,0,9,20,10.8,10.5,29.3,19,Dabo,Swinney,2008-10-15T00:00:00.000Z,
Coastal Carolina,2023,13,8,5,0,,,-0.9,-1.2,27.6,27.2,Tim,Beck,,
Colorado,2023,12,4,8,0,,,0.8,-4.9,29.6,34.4,Deion,Sanders,,
Colorado State,2023,12,5,7,0,,,-8.8,-8.9,21.9,32,Jay,Norvell,2021-12-06T00:00:00.000Z,
Duke,2023,12,7,5,0,,,9.8,9.4,27.3,19.5,Mike,Elko,2021-12-10T00:00:00.000Z,"0,6"
Duke,2023,1,1,0,0,,,9.8,9.4,27.3,19.5,Trooper,Taylor,,"0,6"
